config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,exclude_hidden_optimum_from_initial,training_contains_hidden_optimum,initial_matches_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,initial_bitstring,initial_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,1","[0, 1]",4,16,9,12,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1100,33223.5533,True,15,16,28,56000,14,56,114,ok,
"0,1","[0, 1]",4,16,10,12,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1100,33223.5533,True,16,16,17,34000,14,56,114,ok,
"0,1","[0, 1]",4,16,11,12,True,True,False,False,1100,33223.5533,0001,50579.28972722357,1100,33223.5533,True,15,16,19,38000,14,56,114,ok,
"0,1","[0, 1]",4,16,12,12,True,True,False,False,1100,33223.5533,1001,39794.7596684,1100,33223.5533,True,14,16,13,26000,14,56,114,ok,
"0,1","[0, 1]",4,16,13,12,True,True,False,False,1100,33223.5533,1011,39794.7596684,1000,35794.7596684,False,14,16,16,32000,14,56,114,ok,
"0,1","[0, 1]",4,16,14,12,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1110,37223.5533,False,14,16,14,28000,18,38,336,ok,
"0,1","[0, 1]",4,16,15,12,True,True,False,False,1100,33223.5533,1011,39794.7596684,1000,35794.7596684,False,13,16,16,32000,14,56,114,ok,
"0,1","[0, 1]",4,16,16,12,True,True,False,False,1100,33223.5533,1101,37223.5533,1101,37223.5533,False,13,16,12,24000,18,56,496,ok,
"0,1","[0, 1]",4,16,17,12,True,True,False,False,1100,33223.5533,0101,50008.08335882357,1110,37223.5533,False,14,16,13,26000,14,38,77,ok,
"0,1","[0, 1]",4,16,18,12,True,True,False,False,1100,33223.5533,0011,40544.87922298824,1100,33223.5533,True,14,16,13,26000,14,56,114,ok,
"0,1","[0, 1]",4,16,19,12,True,True,False,False,1100,33223.5533,1110,37223.5533,1000,35794.7596684,False,13,16,14,28000,18,56,496,ok,
"1,5","[1, 5]",4,16,0,4,True,True,False,False,0000,20578.2152604,1000,24578.2152604,0000,20578.2152604,True,9,16,18,36000,18,55,511,ok,
"1,5","[1, 5]",4,16,1,4,True,True,False,False,0000,20578.2152604,1111,37223.5533,0000,20578.2152604,True,12,16,22,44000,14,56,96,ok,
"1,5","[1, 5]",4,16,2,4,True,True,False,False,0000,20578.2152604,0100,24578.2152604,0100,24578.2152604,False,7,16,12,24000,14,37,61,ok,
"1,5","[1, 5]",4,16,3,4,True,True,False,False,0000,20578.2152604,1001,30948.208892000002,0000,20578.2152604,True,11,16,23,46000,18,37,349,ok,
"1,5","[1, 5]",4,16,4,4,True,True,False,False,0000,20578.2152604,0100,24578.2152604,0100,24578.2152604,False,11,16,12,24000,14,55,87,ok,
"1,5","[1, 5]",4,16,5,4,True,True,False,False,0000,20578.2152604,1010,30853.5596684,0000,20578.2152604,True,12,16,19,38000,14,56,84,ok,
"1,5","[1, 5]",4,16,6,4,True,True,False,False,0000,20578.2152604,0110,30853.5596684,0000,20578.2152604,True,9,16,16,32000,18,55,501,ok,
"1,5","[1, 5]",4,16,7,4,True,True,False,False,0000,20578.2152604,0010,26853.5596684,0000,20578.2152604,True,10,16,18,36000,18,38,332,ok,
